## Lee~Giaver, 2005 (PMID 16121259)
## Homozygous deletion collection, growth (relative abundance in pooled culture)
ORF	cisplatin [500 uM], time [5 generations]	cisplatin [500 uM], time [overnight + 20 generations]	carboplatin [15 mM], time [5 generations]	oxaliplatin [4 mM], time [5 generations]	psoralen [0.5 uM], time [5 generations], radiation [unknown]	angelicin irradiated (angelicin [62.5 uM], time [5 generations], radiation [unknown])	mechlorethamine [62.5 uM], time [overnight + 5 generations]	mechlorethamine [62.5 uM], time [overnight + 20 generations]	mitomycin C [1 mM], time [5 generations]	streptozocin [2 mM], time [5 generations]	streptozocin [2 mM], time [overnight + 20 generations]	methyl methanesulfonate [0.002%], time [5 generations]	camptothecin [30 ug/ml], time [5 generations]	camptothecin [30 ug/ml], time [overnight + 20 generations]	2-dimethylaminoethyl chloride [240 mM], time [5 generations]	4-nitroquinoline N-oxide [0.0313 uM], time [5 generations]
YAL002W	-0.339	0.695	-0.824	-1.201	-0.747	-0.496	-0.359	0.737	-0.969	-0.489	-0.029	-0.202	-0.513	-0.196	0.091	-0.522
YAL004W	0.033	0.430	-0.283	-0.111	-0.195	-0.291	-0.104	0.216	-0.210	-0.334	0.239	-0.359	-0.244	0.150	0.141	-0.354
YAL005C	-0.047	0.511	-0.210	-0.164	0.215	-0.286	-0.102	0.505	-0.375	0.245	0.191	-0.294	-0.055	0.044	0.381	-0.884
YAL007C	-0.220	0.473	-0.085	-0.217	-0.133	-0.315	-0.108	0.606	-0.377	-0.088	0.450	-0.465	-0.162	0.043	0.120	-0.635
YAL008W	-0.361	0.233	-0.410	-0.268	-0.556	-0.306	0.036	-0.109	-0.291	-0.608	0.467	-0.741	-0.435	0.110	-0.443	-0.590
YAL009W	0.078	-0.293	-0.027	-0.210	-0.386	-0.464	-0.569	-0.784	-0.169	-0.486	0.800	-0.077	-0.371	-0.254	0.754	-0.789
YAL010C	0.948	-0.000	0.504	0.485	-0.003	-0.104	0.476	-0.000	1.286	0.131	-0.000	0.053	0.484	-0.000	0.556	0.991
YAL011W	-0.055	-1.945	0.362	-0.523	-0.552	-1.149	-1.060	-1.694	0.272	-0.493	-1.467	-0.213	-0.246	-1.369	0.334	-1.947
YAL012W	-0.379	-0.313	-0.167	-0.021	0.135	0.129	0.316	-0.014	0.871	0.008	-0.818	0.197	0.140	-0.426	-0.896	0.810
YAL013W	0.292	-0.262	0.343	0.277	-0.128	-0.422	-0.322	-0.451	-0.268	-0.146	-0.000	0.554	-0.044	-0.000	-0.125	-0.814
YAL014C	-0.161	0.407	-0.215	-0.411	-0.026	-0.006	-0.141	0.191	-0.591	0.079	0.170	-0.339	-0.210	0.121	0.369	-0.742
YAL015C	-0.432	-0.184	-0.306	-0.672	-0.286	-0.084	-0.837	-0.844	-0.980	-0.279	-0.427	-0.600	-0.573	-0.625	0.212	-1.356
YAL016W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YAL017W	-0.218	0.455	-0.313	-0.020	-0.284	-0.326	-0.169	0.239	-0.134	-0.054	0.371	-0.416	-0.355	0.241	0.304	-0.425
YAL018C	-0.093	-0.318	0.027	-0.342	-0.048	-0.150	-0.259	-0.159	-0.191	-0.152	0.298	-0.049	0.040	0.260	-0.268	-0.656
YAL019W	-0.004	-0.244	0.075	-0.018	-0.608	-0.012	-0.325	-0.062	0.013	-0.515	-0.027	0.018	0.065	-0.582	-1.453	-0.783
YAL020C	0.355	-0.509	0.084	-0.163	0.111	0.354	0.494	-0.390	0.574	0.149	0.701	0.225	0.039	0.294	0.279	-0.231
YAL021C	-0.447	-1.528	-0.315	-1.270	-1.634	-0.648	-1.796	-0.730	-2.288	-0.528	0.316	-0.173	-1.326	-1.088	-1.701	-0.750
YAL022C	-0.240	0.375	-0.166	-0.172	0.201	0.123	0.038	0.204	-0.233	-0.037	0.292	-0.483	-0.326	-0.005	0.259	-0.928
YAL023C	0.383	-0.000	0.289	0.016	-0.350	-0.035	0.749	-0.000	0.300	-0.097	-0.000	0.681	0.186	-0.000	-1.134	0.313
YAL024C	-0.632	-1.785	-0.315	-0.855	-0.053	-0.438	-2.304	0.063	-3.482	-0.281	-2.446	-0.956	-0.098	-1.424	0.594	-1.235
YAL026C	-0.675	-0.865	0.163	-0.374	-0.608	-0.501	-1.280	-1.342	-2.001	-1.388	-1.296	-0.445	-0.042	0.260	-1.137	-1.738
YAL027W	-0.691	-0.088	-0.578	-0.583	-0.411	-0.508	-0.452	0.143	-0.330	-0.310	0.143	-0.678	-0.334	0.131	-0.248	-1.206
YAL028W	-0.250	0.517	-0.291	-0.124	-0.157	-0.077	-0.024	0.254	-0.193	-0.155	0.348	-0.690	-0.447	-0.042	0.204	-0.678
YAL029C	0.215	0.421	-0.278	0.216	0.032	-0.648	0.352	0.020	0.362	0.006	0.605	0.049	0.089	0.348	-0.067	-0.758
YAL030W	-0.243	0.518	-0.494	-0.135	-0.211	-0.467	-0.058	0.487	-0.312	-0.239	0.259	-0.601	-0.383	0.129	0.081	-0.838
YAL031C	-0.190	0.681	-0.488	0.011	-0.117	-0.494	-0.040	0.204	-0.285	-0.019	0.219	-0.335	-0.078	0.092	0.064	-0.773
YAL034C	-0.491	-0.134	-0.273	-0.400	-1.240	-0.817	0.178	0.020	-0.507	-1.208	0.175	-0.186	-0.340	0.599	-1.134	-0.894
YAL035W	1.475	-0.000	0.544	1.112	0.115	-0.192	0.718	-0.000	2.082	0.485	-0.000	0.886	0.101	-0.000	0.293	-0.098
YAL036C	0.082	0.630	0.029	0.072	0.071	-0.076	0.173	0.181	0.054	0.278	0.212	-0.219	-0.177	0.162	0.372	-0.729
YAL037W	-0.169	0.518	-0.074	0.108	-0.541	-0.482	0.123	0.401	-0.104	-0.246	0.452	-0.506	-0.240	0.222	0.072	-0.764
YAL039C	-0.082	-0.859	0.490	0.078	-0.347	-0.005	-0.306	-0.308	0.771	-0.291	-0.117	0.349	-0.117	0.146	-0.589	-0.494
YAL040C	-0.915	-0.139	-0.169	-0.781	-0.851	-1.440	-0.830	-1.076	-0.743	-1.398	-0.009	-0.769	0.088	-0.933	-0.484	-1.032
YAL042W	0.045	0.361	0.036	-0.053	0.025	0.063	-0.223	0.208	0.067	0.047	0.384	-0.187	-0.032	0.143	0.188	-0.370
YAL043C-A	0.045	0.745	0.416	0.211	-0.043	0.275	0.021	0.246	0.334	0.273	0.604	0.098	0.126	0.247	-0.111	-0.283
YAL044C	0.156	-0.000	-0.022	-0.003	0.083	-0.398	0.129	-0.000	0.476	0.489	-0.000	-0.063	0.022	-0.000	-0.119	-0.093
YAL045C	-0.258	0.560	-0.321	-0.137	-0.098	0.014	0.005	0.355	-0.366	0.027	0.341	-0.626	-0.568	0.034	0.347	-0.673
YAL046C	-0.141	-0.000	-0.134	0.032	0.082	0.078	0.197	-0.000	-0.060	0.028	0.270	-0.453	-0.362	0.038	0.195	-0.870
YAL047C	-0.300	-0.000	-0.259	-0.582	0.030	0.100	0.170	-0.000	-0.496	0.501	-0.000	0.437	-0.094	-0.000	-0.642	0.840
YAL048C	-0.015	-0.000	-0.279	-0.196	-0.558	-0.136	0.065	-0.000	-0.214	-0.227	-0.713	-0.421	-0.358	0.126	0.037	-0.295
YAL049C	-0.104	0.225	-0.091	-0.201	-0.246	-0.019	-0.329	0.168	-0.259	-0.135	0.385	-0.225	-0.211	0.132	0.186	-0.349
YAL051W	-0.221	0.479	-0.132	-0.118	0.157	0.262	0.005	0.154	-0.414	0.384	0.222	-0.440	-0.345	0.134	0.526	-0.863
YAL053W	-0.151	0.238	-0.123	0.029	-0.205	0.191	0.114	0.259	-0.210	0.012	0.304	-0.513	-0.505	0.124	0.265	-0.610
YAL054C	-0.371	0.632	-0.395	-0.374	0.028	0.213	-0.162	0.036	-0.881	-0.015	0.405	-0.290	-0.277	-0.021	-0.105	0.142
YAL055W	-0.017	-0.142	-0.049	-0.048	0.268	0.292	0.184	0.124	-0.047	0.495	0.290	-0.343	-0.359	0.137	0.550	-0.780
YAL056W	-0.167	-0.000	-0.201	-0.391	0.004	-0.039	-0.203	-0.000	-0.573	0.133	0.205	-0.307	-0.154	0.139	-0.105	-1.077
YAL058C-A	0.120	0.347	0.080	0.142	0.182	0.463	0.488	0.327	-0.163	0.329	0.519	-0.067	-0.022	0.289	-0.080	0.070
YAL058W	-0.009	0.440	-0.118	-0.157	0.097	-0.033	0.173	-0.218	-0.235	0.256	0.693	-0.272	-0.377	0.315	-0.058	-0.806
YAL059W	0.123	0.834	-0.274	0.394	-0.270	-0.106	0.515	0.522	0.244	-0.113	0.540	-0.357	-0.391	0.420	0.083	-0.569
YAL060W	-0.188	0.421	-0.326	-0.124	-0.154	0.040	-0.051	0.557	-0.393	0.138	0.295	-0.542	-0.430	0.092	0.257	-0.765
YAL061W	-0.230	0.710	-0.219	-0.210	0.107	0.237	0.104	0.579	-0.356	0.135	0.249	-0.708	-0.672	-0.126	0.318	-0.956
YAL062W	-0.288	0.220	-0.168	-0.293	0.273	0.323	-0.004	0.273	-0.355	0.349	0.316	-0.558	-0.558	-0.013	0.471	-0.819
YAL064C-A	-0.209	0.549	0.036	-0.188	0.100	0.074	-0.174	0.496	-0.298	0.222	0.398	-0.221	-0.052	0.398	0.306	0.146
YAL065C	-0.106	-0.178	-0.136	-0.035	0.107	0.069	-0.071	0.267	-0.225	0.152	0.347	-0.359	-0.366	0.109	0.424	-0.713
YAL066W	-0.104	-0.115	-0.001	-0.226	-0.139	0.116	-0.055	0.220	-0.215	-0.390	0.250	-0.424	-0.274	-0.121	0.190	-1.082
YAL067C	-0.162	-0.331	-0.368	0.017	-0.374	-0.533	0.185	-0.069	-0.285	-0.337	0.286	-0.520	-0.058	0.241	-0.033	-0.951
YAL068C	-0.177	-0.003	-0.280	-0.049	-0.229	-0.116	0.159	0.242	-0.266	-0.022	0.319	-0.562	-0.359	0.064	0.313	-0.755
YAR002C-A	-0.237	-0.144	-0.126	-0.190	-0.059	0.385	0.218	-0.194	-0.048	-0.162	0.357	-0.315	-0.212	0.184	0.024	-0.387
YAR002W	-0.367	-0.000	-0.252	-1.097	-1.088	-0.897	-1.315	-0.000	0.574	-0.754	-0.000	0.366	-0.451	-0.000	0.386	-0.983
YAR003W	-0.239	-1.786	-0.478	-0.242	-0.600	-1.090	-0.313	-0.506	-0.429	-0.510	0.218	-0.491	-0.091	-2.461	-0.599	-0.735
YAR014C	0.432	-0.500	0.207	0.261	0.351	0.182	0.085	-0.463	0.350	0.150	-0.712	0.246	0.325	0.704	0.162	-0.725
YAR015W	0.478	-0.413	0.186	0.663	-0.027	-0.146	1.048	0.099	0.872	-0.573	-0.000	0.188	0.122	-0.000	0.032	-0.251
YAR018C	0.067	0.126	0.184	0.237	-0.585	-0.521	-0.290	-0.489	-0.282	-0.516	0.456	0.606	0.348	-0.186	-0.536	-0.905
YAR020C	-0.100	0.479	0.021	0.152	0.293	0.411	-0.175	0.216	-0.072	0.357	0.279	-0.315	-0.278	0.067	0.796	-0.820
YAR023C	-0.145	0.352	-0.046	-0.168	-0.064	0.188	-0.402	0.330	-0.346	0.059	0.195	-0.095	-0.060	-0.025	0.042	-0.889
YAR027W	-0.091	0.269	-0.221	-0.034	0.070	-0.122	-0.153	0.208	-0.274	0.144	0.244	-0.284	-0.226	0.218	0.368	-1.128
YAR028W	-0.313	-0.201	-0.104	-0.475	-0.520	-0.528	-0.302	0.309	-0.397	-0.585	0.254	-0.102	0.090	0.102	-0.301	-0.287
YAR029W	-0.492	0.515	-0.246	-0.266	-0.264	0.074	-0.048	0.429	-0.566	-0.048	0.211	-0.499	-0.281	0.186	0.295	-0.891
YAR030C	-0.281	0.536	-0.307	-0.159	-0.172	-0.015	-0.289	0.358	-0.375	0.181	0.252	-0.342	-0.362	0.190	0.561	-0.687
YAR031W	-0.217	0.614	-0.200	-0.089	0.194	0.357	0.002	0.387	-0.130	0.148	0.328	-0.468	-0.346	0.077	0.541	-0.695
YAR035W	-0.209	0.476	-0.338	-0.263	-0.384	-0.127	-0.158	0.324	-0.352	-0.217	0.405	-0.427	-0.360	0.274	-0.087	-0.531
YAR037W	-0.262	0.371	-0.471	-0.203	-0.144	-0.017	-0.007	0.380	-0.335	-0.200	0.286	-0.677	-0.486	0.034	0.189	-0.648
YAR040C	-0.389	0.192	-0.340	-0.338	-0.302	-0.116	-0.309	0.141	-0.070	-0.168	0.431	-0.188	-0.209	0.192	0.050	-0.515
YAR042W	-0.229	0.420	-0.505	-0.497	-0.738	-0.135	-0.402	0.194	-0.446	-0.313	0.541	-0.375	-0.355	0.244	-0.032	-0.393
YAR043C	0.032	0.083	0.005	-0.409	-0.332	-0.367	-0.164	-0.887	-0.255	-0.376	0.245	-0.080	-0.066	0.118	-0.251	-0.947
YAR044W	0.487	0.732	0.145	0.605	-0.260	-0.144	0.240	-0.160	0.415	-0.462	0.376	0.331	0.486	0.332	-0.094	-0.343
YAR047C	-0.060	0.307	-0.250	-0.283	-0.044	-0.265	-0.286	0.074	-0.654	-0.021	0.238	-0.104	-0.134	0.300	0.332	-0.627
YAR050W	0.100	0.277	0.032	0.166	0.233	0.271	0.177	-0.103	-0.144	0.191	0.124	-0.205	-0.155	-0.306	0.337	-0.314
YBL001C	-0.172	0.507	-0.182	-0.184	-0.085	-0.065	-0.307	0.002	-0.318	0.020	0.064	-0.227	-0.193	0.151	0.131	-0.036
YBL002W	-0.025	-0.118	-0.151	-0.266	-0.012	-0.048	-0.268	-0.219	0.123	-0.186	-0.115	-0.239	0.143	0.250	-0.285	0.253
YBL003C	0.010	0.396	-0.022	0.041	-0.088	-0.080	0.080	-0.358	-0.033	-0.110	0.095	-0.122	0.109	0.060	-0.248	0.056
YBL005W	-0.017	0.408	-0.127	-0.156	0.219	0.151	-0.260	-0.078	-0.091	0.225	0.086	-0.165	-0.022	0.204	-0.047	0.013
YBL006C	-1.311	-1.164	-0.675	-1.539	-0.603	-0.351	-1.177	-1.525	-0.734	-0.560	-0.348	-0.347	-0.224	0.137	-0.337	-1.717
YBL007C	-0.399	-0.822	-0.343	-0.943	-1.279	-1.321	0.058	-0.155	-1.153	-0.527	-0.000	0.185	0.090	-0.000	-1.636	0.179
YBL008W	0.033	-0.650	0.110	0.161	0.175	0.156	-0.239	-0.216	0.139	-0.026	-0.485	0.149	0.232	0.049	-0.819	-0.057
YBL009W	-0.377	0.317	-0.362	-0.278	-0.225	-0.169	-0.513	-0.165	-0.774	0.006	-0.069	-0.400	-0.305	0.143	-0.427	-0.189
YBL010C	0.126	0.362	0.170	0.131	0.227	0.270	-0.080	-0.169	-0.002	0.225	0.041	-0.022	0.043	-0.038	0.292	0.018
YBL011W	-0.259	0.166	-0.261	-0.226	0.032	0.126	-0.021	-0.117	-0.249	0.056	0.165	-0.421	-0.460	0.114	-0.017	-0.087
YBL012C	-0.145	0.190	-0.258	-0.067	-0.087	0.011	-0.011	-0.034	-0.251	0.157	0.328	-0.429	-0.324	0.169	-0.016	-0.067
YBL013W	-0.033	-0.644	-0.186	-0.050	0.017	0.008	-0.654	-0.219	-0.261	0.042	-0.058	-0.119	-0.155	0.155	-0.241	-0.282
YBL015W	-0.247	0.392	-0.256	-0.158	0.114	0.214	-0.064	0.295	-0.296	0.246	0.155	-0.401	-0.316	-0.045	0.204	-0.147
YBL017C	-0.101	0.192	-0.047	-0.135	0.176	-0.108	-0.207	-0.115	0.003	0.274	-0.057	0.024	0.051	0.073	0.217	-0.178
YBL019W	-0.059	-0.365	-0.294	-0.249	-0.040	-0.340	0.109	-0.413	-0.588	-0.164	0.119	-0.231	-0.171	0.112	-0.352	-0.224
YBL021C	-0.115	0.635	-0.411	0.075	0.169	-0.114	0.307	0.150	-0.431	0.178	0.216	-0.279	-0.125	-0.113	0.032	-0.111
YBL022C	-0.832	-2.325	-0.535	-1.462	-0.284	-0.271	-0.191	-1.442	-0.654	-0.513	-0.935	0.182	0.288	-0.310	-0.543	-0.133
YBL024W	-0.483	-0.713	-0.191	-0.834	-0.012	-0.459	-0.489	-0.390	-0.928	-0.025	-0.534	-0.182	-0.460	-0.548	-0.257	-0.734
YBL027W	0.183	0.335	0.042	0.488	-0.006	-0.157	0.295	0.370	0.311	0.282	-0.300	-0.169	-0.182	0.596	0.342	-0.364
YBL028C	-0.256	0.305	-0.110	-0.057	-0.093	-0.197	-0.066	-0.193	-0.443	-0.215	0.014	-0.377	-0.233	-0.004	-0.523	-0.290
YBL029W	0.182	0.323	0.059	0.323	0.392	0.145	0.142	-0.112	-0.004	0.540	0.118	0.001	0.106	0.224	0.378	-0.584
YBL031W	-0.655	-2.114	-0.644	-1.110	-0.101	-0.401	-0.696	-1.366	-1.140	-0.285	-0.770	-0.369	-0.413	-0.183	-0.037	-0.574
YBL032W	0.091	0.223	0.245	-0.097	-0.025	0.035	-0.302	-0.336	-0.040	0.315	0.280	0.051	0.131	0.363	-0.305	0.159
YBL033C	-0.176	-0.000	-0.152	-0.123	-0.200	-0.413	-0.317	-0.000	0.725	0.038	-0.000	-0.104	-0.014	-0.000	-0.019	0.843
YBL036C	-0.277	0.426	-0.323	-0.143	0.034	-0.078	-0.065	0.134	-0.439	0.084	0.255	-0.551	-0.233	0.031	-0.007	0.047
YBL037W	-0.275	0.049	-0.268	-0.252	0.026	-0.293	-0.313	-0.167	-0.453	0.057	0.010	-0.241	-0.173	0.139	-0.136	-0.035
YBL038W	0.242	-0.715	0.453	0.160	-0.206	-0.413	0.501	-0.008	-0.684	0.259	-0.000	-0.030	-0.141	-0.000	-0.222	0.219
YBL039C	-0.002	-1.177	0.363	-0.397	0.005	-0.485	0.579	-0.727	0.687	-0.239	-0.654	-0.048	-0.118	0.270	0.722	0.184
YBL042C	-0.243	-0.069	0.172	0.281	0.301	-0.407	-0.419	-0.775	-0.754	0.351	0.470	0.738	0.008	0.254	-0.515	0.181
YBL043W	-0.141	0.423	-0.117	-0.136	0.022	-0.090	-0.148	0.055	-0.430	0.089	0.079	-0.420	-0.118	0.162	-0.012	-0.281
YBL044W	0.106	0.339	0.306	0.334	0.308	0.338	-0.191	-0.026	0.148	0.330	0.064	0.120	0.183	0.124	0.060	0.090
YBL045C	-0.465	-0.607	-0.436	0.004	-0.716	-0.225	0.192	-0.465	0.621	-0.156	-0.075	0.183	-0.168	-0.607	-0.241	0.162
YBL046W	-1.340	-4.051	-0.517	-1.925	-0.179	-0.143	-0.875	-1.060	-1.340	-0.226	-0.402	-0.458	-0.557	-0.750	-0.501	-0.866
YBL047C	-0.530	-0.995	-0.129	-0.889	-0.217	-0.281	-0.734	-0.377	-1.442	-0.114	-0.662	-0.390	-0.130	-0.555	-0.072	-0.548
YBL048W	-0.176	0.405	-0.174	-0.135	0.292	0.074	-0.110	-0.171	-0.513	0.339	0.103	-0.333	-0.141	0.108	0.037	-0.340
YBL049W	-0.121	0.502	-0.062	0.120	0.221	0.199	-0.178	0.085	-0.206	0.264	0.217	-0.285	-0.239	0.039	0.325	-0.005
YBL051C	-0.260	-1.100	0.044	-0.174	0.073	0.032	0.286	-0.197	0.110	0.109	0.447	0.005	-0.035	0.094	-0.270	0.051
YBL052C	0.207	0.011	0.287	0.378	0.528	0.230	-0.437	-0.805	-0.065	0.324	-0.406	0.265	0.329	0.232	0.090	-0.181
YBL053W	-0.033	0.029	-0.048	0.154	0.152	0.110	-0.003	-0.214	-0.329	0.116	0.050	-0.201	-0.028	0.009	-0.012	-0.065
YBL054W	-0.381	-0.126	-0.279	-0.390	-0.178	-0.238	-0.334	-0.051	-0.425	0.034	0.196	-0.492	-0.321	0.180	-0.110	-0.740
YBL055C	-0.397	0.329	-0.403	-0.254	-0.205	-0.167	0.200	-0.159	-0.663	-0.041	0.103	-0.488	-0.422	-0.120	-0.193	-0.260
YBL056W	-0.304	0.399	-0.152	-0.128	0.089	0.081	-0.220	-0.008	-0.339	0.091	0.328	-0.337	-0.270	0.159	0.019	-0.179
YBL057C	-0.316	0.633	-0.092	-0.217	0.074	-0.070	-0.121	-0.290	-0.451	0.027	0.273	-0.241	-0.346	0.147	-0.023	-0.182
YBL058W	-0.524	-0.000	0.127	-0.579	-0.351	-0.551	0.274	-0.000	0.540	0.040	-0.000	0.508	0.187	-0.000	-0.719	-0.192
YBL059W	-0.179	0.363	-0.410	-0.262	-0.250	-0.531	-0.215	-0.023	-0.753	-0.076	0.301	-0.355	-0.289	0.315	-0.172	-0.615
YBL060W	0.393	-0.410	0.427	0.334	0.135	0.106	-0.346	-0.602	0.212	0.115	-0.079	0.372	0.441	0.089	-0.041	-0.026
YBL061C	-0.016	0.180	0.112	0.083	0.133	0.162	-0.265	-0.089	-0.193	0.186	-0.210	-0.115	-0.093	-0.225	0.360	-0.239
YBL062W	0.470	0.106	0.583	0.478	-0.026	-0.145	-0.838	-0.546	-0.068	-0.168	-0.278	0.489	0.572	-0.224	-0.180	-0.482
YBL063W	-0.130	0.356	-0.074	-0.055	0.254	0.083	-0.157	-0.120	-0.409	0.152	0.113	-0.206	-0.045	0.155	0.070	-0.369
YBL064C	-0.025	0.417	-0.045	0.127	-0.171	-0.064	-0.148	0.193	-0.099	-0.100	0.352	-0.223	-0.108	0.015	-0.013	-0.076
YBL065W	0.591	-0.218	1.004	0.688	0.492	0.434	-0.091	-0.437	0.495	0.334	0.121	0.888	0.644	0.281	0.493	0.364
YBL066C	-0.261	0.301	-0.116	-0.096	0.091	0.145	-0.090	-0.120	-0.468	-0.070	0.208	-0.355	-0.343	0.042	0.073	0.114
YBL067C	-0.277	0.600	-0.318	-0.076	0.106	-0.044	-0.084	-0.204	-0.318	0.088	0.411	-0.353	-0.295	0.206	0.104	-0.018
YBL068W	-0.379	0.341	-0.195	-0.285	0.070	0.129	0.098	-0.217	-0.385	0.056	0.066	-0.440	-0.340	-0.022	-0.064	-0.131
YBL069W	-0.247	0.546	-0.156	-0.150	-0.093	0.030	-0.152	-0.055	-0.439	0.226	0.162	-0.330	-0.216	0.101	0.075	-0.210
YBL070C	-0.043	0.302	-0.251	-0.048	0.129	-0.122	-0.337	-0.260	-0.474	0.124	0.189	-0.083	-0.223	-0.032	-0.170	-0.268
YBL071C	0.377	-0.118	-0.006	0.294	0.325	0.492	0.440	-0.438	0.494	0.437	0.302	0.118	0.384	0.602	-0.175	0.018
YBL072C	0.634	1.068	0.533	0.745	0.401	0.371	0.579	-0.133	1.089	0.408	0.494	0.125	0.122	-0.382	0.506	0.431
YBL075C	-0.445	0.260	-0.532	-0.532	0.068	-0.156	-0.086	-0.060	-0.581	0.045	0.192	-0.241	-0.331	0.126	-0.276	-0.311
YBL078C	0.087	0.287	-0.065	0.132	0.308	0.091	0.193	0.104	-0.080	0.198	0.203	0.044	0.004	0.053	0.061	-0.246
YBL079W	0.252	-0.257	0.327	0.698	-0.232	0.023	0.229	-0.851	0.750	0.018	-0.026	0.386	0.151	-0.820	0.384	-0.667
YBL080C	0.289	-0.502	0.339	0.425	0.081	0.168	0.407	0.293	-0.550	0.118	0.345	0.134	0.129	0.398	0.135	0.142
YBL081W	0.214	-0.281	0.814	0.296	0.377	0.326	-0.070	-0.614	0.280	0.310	-0.486	0.368	0.195	-0.515	0.503	-0.400
YBL082C	-0.013	-0.171	-0.119	0.034	-0.003	0.050	0.463	-0.095	-0.284	-0.013	0.124	-0.121	-0.138	0.205	0.076	-0.537
YBL083C	-0.942	-0.852	-0.551	-1.365	-0.237	0.036	-0.100	-1.039	-0.501	-0.202	0.048	-0.382	-0.305	-0.142	0.145	-0.080
YBL085W	-0.005	0.412	-0.056	0.108	0.296	0.201	0.179	0.082	0.017	0.291	0.263	-0.235	-0.148	0.067	0.312	-0.151
YBL086C	-0.099	0.595	-0.037	0.041	0.324	0.328	0.220	0.106	-0.253	0.213	0.226	-0.473	-0.394	-0.134	0.340	-0.314
YBL087C	1.052	-0.511	0.843	1.256	0.186	0.155	0.277	-0.659	1.278	0.085	0.598	0.859	0.657	-0.065	-0.009	-0.082
YBL088C	-0.228	-0.013	-0.008	-0.147	0.322	0.201	-0.127	-0.293	-0.411	0.252	0.015	-0.459	-0.748	-0.878	-0.637	-0.608
YBL089W	-0.048	-0.730	0.064	-0.117	0.288	0.082	-0.188	-0.125	-0.294	-0.085	-1.019	-0.243	-0.247	-0.586	0.091	-0.355
YBL090W	-0.025	-0.591	0.002	0.039	0.103	-0.028	0.423	0.377	-0.187	0.153	-0.000	-0.305	-0.238	-0.000	0.148	-0.115
YBL091C-A	-0.448	0.209	-0.296	-0.711	-0.010	0.109	-0.611	0.343	-0.782	-0.534	0.165	-0.205	-0.157	-0.046	-0.130	-0.191
YBL091C	-0.244	0.171	-0.314	-0.147	-0.380	-0.168	-0.113	-0.472	-0.445	-0.473	0.273	-0.291	-0.219	0.152	-0.579	-0.019
YBL093C	0.087	-0.000	0.170	0.183	-0.147	-0.319	-0.282	-0.000	1.151	0.398	-0.000	0.858	0.339	-0.000	0.389	-0.719
YBL094C	-0.232	0.362	-0.233	-0.219	0.243	0.202	0.013	0.199	-0.432	0.248	0.282	-0.573	-0.265	-0.049	0.275	-0.146
YBL095W	-0.025	-1.942	-0.174	-0.352	-0.198	-0.295	0.032	-0.251	-0.350	-0.406	-0.293	0.128	0.199	0.227	-0.511	-0.044
YBL096C	0.055	-0.678	0.209	0.015	-0.068	-0.197	0.033	-0.345	-0.269	-0.043	0.098	0.045	0.054	0.092	0.065	0.055
YBL098W	-0.218	-0.587	-0.535	-0.378	-0.298	-0.278	-0.316	-0.650	-0.220	-0.519	0.204	-0.542	-0.141	-0.241	0.078	0.463
YBL099W	-0.542	-0.000	0.332	0.159	-0.405	-0.025	0.050	-0.000	-0.421	-0.117	-0.000	0.203	0.083	-0.000	-0.505	0.120
YBL100C	0.361	-0.000	0.013	0.498	-1.247	-1.367	1.030	-0.000	0.723	-0.661	-0.000	-0.591	-0.202	-0.000	-0.455	-0.581
YBL101C	0.192	-0.354	-0.032	0.091	0.354	-0.186	-0.250	-0.754	-0.401	0.133	0.041	0.250	0.039	-0.100	0.412	0.011
YBL102W	-0.435	-0.935	-0.425	-0.228	-0.111	-0.334	-0.219	-0.700	-0.275	-0.353	0.394	-0.146	-0.021	0.048	-0.108	-0.088
YBL103C	-0.059	-0.000	-0.153	0.221	0.132	0.019	0.267	-0.000	-0.100	0.284	0.001	-0.258	-0.169	-0.141	0.557	-0.652
YBL104C	-0.057	0.165	0.283	0.240	0.044	0.038	-0.329	-0.660	-0.061	0.210	0.348	0.225	0.301	0.091	0.250	-0.062
YBL106C	-0.009	-1.324	0.244	0.282	-0.066	-0.739	0.121	-0.476	-0.121	-0.519	0.364	0.216	-0.012	-0.211	-0.355	-0.556
YBL107C	-0.001	-0.495	-0.295	0.048	0.003	-0.717	0.075	-0.714	-0.234	-0.552	-0.377	0.333	-0.308	-0.728	-0.245	0.467
YBR001C	-0.213	0.408	-0.633	-0.068	0.057	-0.008	-0.249	-0.889	-0.396	-0.342	0.634	-0.483	-0.117	-0.026	-0.617	-0.083
YBR003W	0.158	-0.142	0.256	0.288	-0.354	-0.113	0.856	-0.072	0.967	-0.172	0.032	0.484	0.093	0.380	-0.295	-0.123
YBR005W	-0.209	-0.422	-0.458	0.063	-0.539	0.208	-0.049	-0.283	-0.907	-0.511	0.229	-0.207	-0.231	0.503	-0.412	-0.103
YBR006W	0.142	-0.477	0.350	0.058	0.402	0.113	0.118	0.118	-0.486	0.384	0.520	-0.206	0.561	0.158	0.243	0.525
YBR007C	-0.006	0.069	0.203	-0.137	0.126	-0.021	-0.432	-0.663	-0.543	-0.164	-0.461	-0.529	-0.610	0.087	-0.017	0.006
YBR008C	-0.240	-0.553	0.074	0.214	0.336	-0.067	0.133	-0.642	-0.159	0.074	-0.031	0.201	0.125	0.004	0.344	0.185
